Part Number,Sim Card,Cell Tech,Activation PIN,Monthly Plan,Card Type,ZIP
TFLGL48VCPTGP,TF256PSIMV9N,CDMA,TFN0001Y,50 Minutes Plan,Visa,33178
TFLGL57BGP5AS,TF128PSIMC4N,GSM,TFN00060,50 Minutes Plan,Discover,33178
TFLGL58VCPSP,TF256PSIMV9N,CDMA,TFSAPP1SPH090,50 Minutes Plan,American Express,33178
TFZEZ233VCGYPTGP,TF256PSIMV9RM,CDMA,TFSAPP1SPH1500,125 Minutes Plan,Visa,33178
TFLG108CR,,CDMA,TFSAPP1SPH200,50 Minutes Plan,Visa,33178
TFZEZ232TGGYRCS5,TF128PSIMT5RM,GSM,TFSAPP1SPH500,50 Minutes Plan,Discover,33178
TFSAS550TGP5AP,TF128PSIMT5N,GSM,TFSAPP1SPH750,50 Minutes Plan,American Express,33178
TFAPI6PG16GYP4,TF128PSIMC4N,GSM,TFN0001Y,125 Minutes Plan,Visa,33178
TFSAS320VC3P,TF256PSIMV9N,CDMA,TFN00060,50 Minutes Plan,Visa,33178
TFZEZ861BGP4DG,TF128PSIMC4N,GSM,TFSAPP1SPH090,50 Minutes Plan,Discover,33178
TFSAG930VCWHP,TF256PSIMV9N,CDMA,TFSAPP1SPH1500,50 Minutes Plan,Visa,33178
TFAPI5SG16GYR4,TF128PSIMC4N,GSM,TFSAPP1SPH200,125 Minutes Plan,American Express,33178
TFAPI5SC16SV,TF256PSIMV9N,CDMA,TFSAPP1SPH500,200 Minutes Plan,Discover,33178
TFAPI6C16SVP,TF256PSIMV9N,CDMA,TFN0001Y,50 Minutes Plan,Visa,33178
TFAPI6PC16SVP,TF256PSIMV9N,CDMA,TFSAPP1SPH750,125 Minutes Plan,American Express,33178
TFAPI6SG16GDWHP4,TF128PSIMC4N,GSM,TFSAPP1SPH1500,50 Minutes Plan,Discover,33178
TFAPI6SC16SVPWP,TF256PSIMV9N,CDMA,TFN0001Y,125 Minutes Plan,Visa,33178
TFAPI6SPG16RGWHP,TF128PSIMC4N,GSM,TFN00060,50 Minutes Plan,American Express,33178
TFAPI6SPC16RGR,TF256PSIMV9N,CDMA,TFSAPP1SPH090,125 Minutes Plan,Discover,33178
TFLGLRS988VCPRS,TF256PSIMV9N,CDMA,TFSAPP1SPH1500,50 Minutes Plan,Visa,33178
TFHUH1511DGSVP5DG,TF128PSIMT5N,GSM,TFSAPP1SPH200,50 Minutes Plan,American Express,33178
TFHUH1511DCPFMP,TF256PSIMV9N,CDMA,TFSAPP1SPH500,125 Minutes Plan,Discover,33178
TFAPISEG16SVP,TF128PSIMC4N,GSM,TFSAPP1SPH750,50 Minutes Plan,Visa,33178
TFAPISEC16SVP,TF256PSIMV9N,CDMA,TFN0001Y,125 Minutes Plan,Visa,33178
TFALA571VCDG,TF256PSIMV9RM,CDMA,TFN00060,200 Minutes Plan,Visa,33178
TFALA570BGP,TF128PSIMT5RM,GSM,TFSAPP1SPH090,50 Minutes Plan,Visa,33178
TFALA846C,TF256PSIMV9RM,CDMA,TFSAPP1SPH1500,125 Minutes Plan,Visa,33178
TFZEZ962BGP5P,TF128PSIMC4N,GSM,TFSAPP1SPH200,50 Minutes Plan,Visa,33178
TFLGL82VCPAS,TF256PSIMV9N,CDMA,TFSAPP1SPH500,125 Minutes Plan,Visa,33178
TFLGL81AGP4DG,TF128PSIMC4N,GSM,TFSAPP1SPH750,50 Minutes Plan,Visa,33178
TFZEZ716BGP4-5,TF128PSIMC4RM,GSM,TFN0001Y,125 Minutes Plan,Visa,33178
TFLGL52VCPTGP,TF256PSIMV9N,CDMA,TFN00060,50 Minutes Plan,American Express,33178
TFZEZ753GP5-5,TF128PSIMT5RM,GSM,TFSAPP1SPH090,50 Minutes Plan,Visa,33178
TFSAS820CPRS,TF256PSIMV9RM,CDMA,TFN0001Y,125 Minutes Plan,Visa,33178
TFLCPOAMOTXGP4,TF128PSIMC4N,GSM,TFSAPP1SPH200,200 Minutes Plan,Visa,33178
TFZEZ753GRCS,TF64PSIMC4RM,GSM,TFSAPP1SPH500,200 Minutes Plan,Visa,33178
TFZEZ752C3PWP,,CDMA,TFSAPP1SPH750,200 Minutes Plan,Visa,33178
TFSAS920C3P,TF256PSIMV9RM,CDMA,TFN0001Y,200 Minutes Plan,Visa,33178
TFLG237CDMPDG,,CDMA,TFN00060,125 Minutes Plan,Visa,33178
TFMTXT830CPAS,,CDMA,TFSAPP1SPH090,200 Minutes Plan,Visa,33178
TFLGL41CPMP,,CDMA,TFSAPP1SPH1500,125 Minutes Plan,Visa,33178
TFAPI4S8CWT,,CDMA,TFSAPP1SPH200,200 Minutes Plan,Visa,33178
TFSAS738CWHP,,CDMA,TFSAPP1SPH500,200 Minutes Plan,Visa,33178
TFZEZ837VCFDP,TF256PSIMV9N,CDMA,TFSAPP1SPH750,200 Minutes Plan,Visa,33178
TFLGL64VC3P,TF256PSIMV9N,CDMA,TFSAPP1SPH200,200 Minutes Plan,Visa,33178
TFZEZ836BGP4-5,TF128PSIMC4N,GSM,TFN0001Y,200 Minutes Plan,Visa,33178
TFZEZ836BGP5-5,TF128PSIMT5N,GSM,TFN00060,125 Minutes Plan,Visa,33178
TFZEZ836BG,TF128PSIMCL7N,GSM,TFSAPP1SPH090,200 Minutes Plan,Visa,33178
TFZEZ798BGP4-5,TF128PSIMC4RM,GSM,TFSAPP1SPH1500,125 Minutes Plan,Visa,33178
TFZEZ798BGP5-5,TF128PSIMT5RM,GSM,TFSAPP1SPH200,200 Minutes Plan,Visa,33178
TFZEZ798BG,TF128PSIMCL7RM,GSM,TFSAPP1SPH500,200 Minutes Plan,Visa,33178
TFLGL59BGP4DU,TF128PSIMC4N,GSM,TFN0001Y,200 Minutes Plan,Visa,33178
TFLGL59BGP5DU,TF128PSIMT5N,GSM,TFN00060,200 Minutes Plan,Visa,33178
TFLGL59BGP4AP,TF128PSIMCL7N,GSM,TFSAPP1SPH090,125 Minutes Plan,Visa,00692
TFLGL63BGP4DU,TF128PSIMC4N,GSM,TFSAPP1SPH1500,200 Minutes Plan,Visa,33178
TFLGL63BGP5DU,TF128PSIMT5N,GSM,TFSAPP1SPH200,125 Minutes Plan,Visa,33178
TFLGL63BGP4AP,TF128PSIMCL7N,GSM,TFSAPP1SPH500,200 Minutes Plan,Visa,00692
TFZEZ799VCPRS,TF256PSIMV9RM,CDMA,TFSAPP1SPH750,200 Minutes Plan,Visa,33178
