Part Number,SIM,Card Type,Card,Zip Code,Cell Type,Pin Card1,Pin Card2,Pin Card3,Add ILD,Promo
TFLGL48VCPWP,TF256PSIMV9N,Visa,1500 Minutes,33178,CDMA,TFN0001Y,,,1,TRUE
TFLGL57BGP4RS,TF128PSIMT5N,American Express,120 Minutes,33178,GSM,TFN00060,,,4,FALSE
TFLGL58VCPTGP,TF256PSIMV9N,Visa,750 Minutes,33178,CDMA,TFSAPP1SPH090,,,1,TRUE
TFZEZ233VCGYPTGP,TF256PSIMV9RM,Visa,750 Minutes,33178,CDMA,TFSAPP1SPH1500,,,1,TRUE
TFZEZ232TGGYP5DG,TF256PSIMV9RM,American Express,1000 Minutes One Year,33178,CDMA,TFSAPP1SPH200,,,0,FALSE
TFLG108CDMPSV,,American Express,120 Minutes,33178,GSM,TFSAPP1SPH500,,,4,FALSE
TFAPI6G16GYP4TER,TF128PSIMC4N,Visa,750 Minutes,33178,GSM,TFSAPP1SPH750,TFN00060,,1,TRUE
TFSAS907VC3P,TF256PSIMV9N,American Express,200 Minutes,33178,CDMA,TFSAPP1SPH090,,,1,TRUE
TFSAG930VCPTGP,TF256PSIMV9N,Visa,1500 Minutes,33178,CDMA,TFSAPP1SPH1500,TFN00060,,1,TRUE
TFAPI5SG16GYWHP,TF128PSIMC4N,American Express,120 Minutes,33178,GSM,TFSAPP1SPH200,,TFN00060,4,FALSE
TFAPI5SC16GYPWP,TF256PSIMV9N,Discover,120 Minutes,33178,CDMA,TFSAPP1SPH500,,,0,TRUE
TFAPI6C16GYR,TF256PSIMV9N,Visa,30 Minutes,33178,CDMA,TFSAPP1SPH750,,,1,TRUE
TFAPI6PC16GYPWP,TF256PSIMV9N,American Express,200 Minutes,33178,CDMA,TFN0001Y,,,1,TRUE
TFAPI6SG16RGWHP4,TF128PSIMC4N,Discover,120 Minutes,33178,GSM,TFN00060,,,0,TRUE
TFAPI6SC16SVWHP,TF256PSIMV9N,Visa,200 Minutes,33178,CDMA,TFSAPP1SPH090,,,0,FALSE
TFAPI6SPG16RGR4,TF128PSIMC4N,American Express,120 Minutes,33178,GSM,TFSAPP1SPH1500,,TFN0001Y,4,FALSE
TFAPI6SPC16GDR,TF256PSIMV9N,Discover,1500 Minutes,33178,CDMA,TFSAPP1SPH200,TFN0001Y,,1,TRUE
TFLGLRS988VCPTGP,TF256PSIMV9N,Visa,120 Minutes,33178,CDMA,TFSAPP1SPH500,,TFN0001Y,2,FALSE
TFHUH1511DGSVP,TF128PSIMT5N,American Express,30 Minutes,33178,GSM,TFSAPP1SPH750,,,0,TRUE
TFHUH1511DCP-5,TF256PSIMV9N,Discover,120 Minutes,33178,CDMA,TFN0001Y,,TFN0001Y,2,FALSE
TFAPISEG16SVP4,TF128PSIMC4N,Visa,1500 Minutes,33178,GSM,TFN00060,TFN00060,,1,TRUE
TFAPISEC16SVP,TF256PSIMV9N,Discover,120 Minutes,33178,CDMA,TFSAPP1SPH090,,TFN00060,4,FALSE
TFALA846CDG,TF256PSIMV9RM,Discover,120 Minutes,33178,CDMA,TFSAPP1SPH1500,,,0,TRUE
TFALA571VCPAS,TF256PSIMV9RM,American Express,200 Minutes,33178,CDMA,TFSAPP1SPH500,,,1,TRUE
TFZEZ963VCPWP,TF256PSIMV9N,Visa,120 Minutes,33178,CDMA,TFSAPP1SPH750,,,0,TRUE
TFALA621BGRCS4,TF128PSIMC4RM,Discover,90 Minutes,33178,GSM,TFN0001Y,,,1,FALSE
TFLGL62VCPRS,TF256PSIMV9N,Discover,120 Minutes,33178,CDMA,TFN00060,,TFSAPP1SPH750,0,FALSE
TFLGL61AG3P4,TF128PSIMC4N,Visa,500 Minutes,33178,GSM,TFSAPP1SPH090,TFN00060,,1,TRUE
TFLGL43AG3P4P,TF128PSIMC4N,Discover,120 Minutes,33178,GSM,TFSAPP1SPH1500,,TFSAPP1SPH750,0,FALSE
TFLG329GDMP4,TF64SIMT5,Visa,30 Minutes,33178,GSM,TFSAPP1SPH200,,,1,TRUE
TF3GCPOAI5SGP5,TF128PSIMT5N,Visa,750 Minutes,33178,GSM,TFSAPP1SPH750,,,1,TRUE
TFALA460G3P4P,TF64PSIMC4RM,Visa,120 Minutes,33178,GSM,TFN0001Y,,,1,TRUE
TFLG441GWHP4,TF128SIMC4,Visa,120 Minutes,33178,GSM,TFN00060,,,1,TRUE
TFLGL16CPDU,,Visa,200 Minutes,33178,CDMA,TFSAPP1SPH090,,,1,TRUE
TFUXU671CWHP,,Visa,120 Minutes,33178,CDMA,TFSAPP1SPH1500,,,0,TRUE
TFSAS765CPWP,,Visa,120 Minutes,33178,CDMA,TFSAPP1SPH200,,,0,TRUE
TFMTW175P5,TF64SIMT5,Visa,30 Minutes,33178,GSM,TFSAPP1SPH500,,,0,TRUE
TFSAR455CTMP,,Visa,400 Minutes,33178,CDMA,TFN0001Y,,,1,TRUE
TFSAS738CTMP,,Visa,60 Minutes,33178,CDMA,TSAPP40300,,,0,TRUE
