Part Number,SIM,PIN,Zip Code,Cell Tech,Plan,Add ILD,Card,Promo
TFLGL48VCPAP,TF256PSIMV9N,TFSAPP1SPH1500,33178,CDMA,120 Minutes,1,Discover,FALSE
TFLGL57BGP4SP,TF128PSIMT5N,TFN0001Y,33178,GSM,120 Minutes,1,Visa,TRUE
TFLGL58VC3PWP,TF256PSIMV9N,TFN0001Y,33178,CDMA,750 Minutes,0,Discover,TRUE
TFZEZ233VCGYPDU,TF256PSIMV9RM,TFN00060,33178,CDMA,450 Minutes,5,Visa,FALSE
TFZEZ232TGGYP5DU,TF128PSIMT5RM,TFSAPP1SPH090,33178,GSM,120 Minutes,1,Discover,FALSE
TFLG108CDG,,TFSAPP1SPH1500,33178,CDMA,120 Minutes,1,Visa,TRUE
TFAPI6PG16GYP4TER,TF128PSIMC4N,TFSAPP1SPH200,33178,GSM,750 Minutes,0,Discover,TRUE
TFAPI6G16GYP4,TF128PSIMC4N,TFSAPP1SPH750,33178,GSM,120 Minutes,1,American Express,TRUE
TFSAS550TGP5-5,TF128PSIMT5N,TFN0001Y,33178,GSM,30 Minutes,3,Discover,TRUE
TFSAS320VCPRS,TF256PSIMV9N,TFN00060,33178,CDMA,120 Minutes,1,Visa,FALSE
TFLG238CDG,,TFSAPP1SPH090,33178,CDMA,30 Minutes,3,American Express,TRUE
TFSAS907VCPDG,TF256PSIMV9N,TFSAPP1SPH1500,33178,CDMA,450 Minutes,0,American Express,TRUE
TFZEZ861BGP5,TF128PSIMT5N,TFSAPP1SPH200,33178,GSM,120 Minutes,1,Discover,FALSE
TFSAG930VCP,TF256PSIMV9N,TFSAPP1SPH500,33178,CDMA,120 Minutes,1,Visa,TRUE
TFAPI5SG16SVR,TF128PSIMC4N,TFSAPP1SPH750,33178,GSM,30 Minutes,3,American Express,TRUE
TFAPI5SC16SVPWP,TF256PSIMV9N,TFN0001Y,33178,CDMA,200 Minutes,0,Discover,FALSE
TFAPI6C16SVR,TF256PSIMV9N,TFN00060,33178,CDMA,30 Minutes,1,Visa,TRUE
TFAPI6PC16SVR,TF256PSIMV9N,TFSAPP1SPH090,33178,CDMA,450 Minutes,0,American Express,TRUE
TFAPI6SG16GDR,TF128PSIMC4N,TFSAPP1SPH1500,33178,GSM,450 Minutes,1,Discover,TRUE
TFAPI6SC16SV,TF256PSIMV9N,TFSAPP1SPH200,33178,CDMA,120 Minutes,2,Visa,FALSE
TFAPI6SPG16GDP4P,TF128PSIMC4N,TFSAPP1SPH500,33178,GSM,30 Minutes,5,American Express,TRUE
TFAPI6SPC16SVP,TF256PSIMV9N,TFSAPP1SPH750,33178,CDMA,200 Minutes,0,Discover,TRUE
TFLGLRS988VCDG,TF256PSIMV9N,TFN0001Y,33178,CDMA,450 Minutes,5,Visa,FALSE
TFHUH1511DGSVR5,TF128PSIMT5N,TFN00060,33178,GSM,120 Minutes,1,American Express,TRUE
TFAPISEG16SVR4,TF128PSIMC4N,TFSAPP1SPH1500,33178,GSM,120 Minutes,1,Visa,TRUE
TFAPISEC16SVPWP,TF256PSIMV9N,TFSAPP1SPH200,33178,CDMA,30 Minutes,3,American Express,TRUE
TFALA846CP-5,TF256PSIMV9RM,TFSAPP1SPH500,33178,CDMA,200 Minutes,0,American Express,FALSE
TFALA570BG3P5P,TF128PSIMT5RM,TFSAPP1SPH750,33178,GSM,30 Minutes,1,Visa,TRUE
TFALA571VCPFMP,TF256PSIMV9RM,TFN0001Y,33178,CDMA,450 Minutes,0,Discover,TRUE
TFZEZ717VCPSP,TF256PSIMV9RM,TFN00060,33178,CDMA,450 Minutes,1,Discover,TRUE
TFZEZ962BGP4DG,TF128PSIMC4N,TFSAPP1SPH090,33178,GSM,750 Minutes,2,Visa,FALSE
TFZEZ963VC3P,TF256PSIMV9N,TFSAPP1SPH1500,33178,CDMA,1500 Minutes,5,American Express,TRUE
TFALA621BG3P5P,TF128PSIMC4RM,TFSAPP1SPH200,33178,GSM,200 Minutes,0,Visa,TRUE
TFLGL82VCDG,TF256PSIMV9N,TFSAPP1SPH500,33178,CDMA,750 Minutes,5,Discover,FALSE
TFLGL81AG3P4,TF128PSIMC4N,TFSAPP1SPH750,33178,GSM,120 Minutes,1,Visa,TRUE
TFLGL62VC3P,TF256PSIMV9N,TFSAPP1SPH500,33178,CDMA,300 Minutes,3,American Express,TRUE
TFLGL51AGP4DU,TF128PSIMC4N,TFN0001Y,33178,GSM,1500 Minutes,1,Visa,TRUE
