Part Number,Sim Card,Zip Code,Pin Card,Cell Tech,Zip Code1
TFLGL48VCPET3,TF256PSIMV9N,33178,TFN0001Y,CDMA,33178
TFLGL57BGP4DU,TF128PSIMC4N,33178,TFN00060,GSM,33178
TFLGL58VCPET,TF256PSIMV9N,33178,TFSAPP1SPH090,CDMA,33178
TFZEZ233VCGYPET2,TF256PSIMV9RM,33178,TFSAPP1SPH1500,CDMA,33178
TFZEZ232TGGY2R5,TF128PSIMT5RM,33178,TFSAPP1SPH200,GSM,33178
TFLG108CDMP-5SV,,33178,TFSAPP1SPH500,CDMA,33178
GPAPI6G16SVP4,TF128PSIMC4N,33178,TFSAPP1SPH750,GSM,33178
GPAPI6PG16GYP4TER,TF128PSIMC4N,33178,TFN0001Y,GSM,33178
TFSAS550TGP5P,TF128PSIMT5N,33178,TFN00060,GSM,33178
TFSAS320VCPFMP,TF256PSIMV9N,33178,TFSAPP1SPH090,CDMA,33178
TFLG238CDMPDG,,33178,TFSAPP1SPH1500,CDMA,33178
TFSAS907VCPWP,TF256PSIMV9N,33178,TFSAPP1SPH200,CDMA,33122
TFZEZ861BGP4-5,TF128PSIMC4N,33178,TFSAPP1SPH500,GSM,33122
TFSAG930VCPAP2,TF256PSIMV9N,33178,TFSAPP1SPH750,CDMA,33122
TFAPI5SG16GYR,TF128PSIMC4N,33178,TFN0001Y,GSM,33122
TFAPI5SC16SVWHP,TF256PSIMV9N,33178,TFN00060,CDMA,33122
TFAPI6C16GY,TF256PSIMV9N,33178,TFSAPP1SPH090,CDMA,33122
TFAPI6PC16GY,TF256PSIMV9N,33178,TFSAPP1SPH1500,CDMA,33122
TFAPI6SG16RGR,TF128PSIMC4N,33178,TFN0001Y,GSM,33122
TFAPI6SC16GYPWP,TF256PSIMV9N,33178,TFSAPP1SPH500,CDMA,33122
TFAPI6SPG16RGP4,TF128PSIMC4N,33178,TFSAPP1SPH750,GSM,33122
TFAPI6SPC16RGP,TF256PSIMV9N,33178,TFN0001Y,CDMA,33122
TFLGLRS988VCPDU,TF256PSIMV9N,33178,TFN00060,CDMA,33122
TFHUH1511DGSVP5AS,TF128PSIMT5N,33178,TFSAPP1SPH090,GSM,33122
TFHUH1511DC,TF256PSIMV9N,33178,TFSAPP1SPH1500,CDMA,33122
TFAPISEG16SVWHP,TF128PSIMC4N,33178,TFSAPP1SPH200,GSM,33178
TFAPISEC16SVR,TF256PSIMV9N,33178,TFSAPP1SPH500,CDMA,33178
TFALA571VC3PWP,TF256PSIMV9RM,33178,TFSAPP1SPH750,CDMA,33178
TFALA570BGR,TF128PSIMT5RM,33178,TFN0001Y,GSM,33178
TFALA846CPDG,TF256PSIMV9RM,33178,TFN00060,CDMA,33178
TFZEZ717VCPAS,TF256PSIMV9RM,33178,TFSAPP1SPH090,CDMA,33178
TFZEZ962BGP5DU,TF128PSIMT5N,33178,TFSAPP1SPH1500,GSM,33178
TFZEZ963VCPDG,TF256PSIMV9N,33178,TFSAPP1SPH200,CDMA,33178
TFALA621BG3P5,TF128PSIMC4RM,33178,TFSAPP1SPH500,GSM,33178
TFLGL82VCPTGP,TF256PSIMV9N,33178,TFSAPP1SPH750,CDMA,33178
