Part,SIM,Source Brand,New Cell,Old Part,pin for new part
TFLGL48VCR,TF256PSIMV9N,STRAIGHT_TALK,CDMA,STZEZ752C,TFN0001Y
TFLGL57BGP4AP2,TF128PSIMT5N,STRAIGHT_TALK,CDMA,STZEZ752C,TFN00060
TFLGL58VCPET4,TF256PSIMV9N,TELCEL_AMERICA,CDMA,TCLG236C,TSAPP40300
TFZEZ233VCGYWHP,TF256PSIMV9RM,NET10,GSM,NTLGL25CPDG,TFSAPP1SPH090
TFZEZ232TGGYWHP,TF128PSIMT5RM,NET10,GSM,NTLGL61AGRCS,TFSAPP1SPH1500
TFLG108CDMPTGPSV,,STRAIGHT_TALK,CDMA,STLG328BGR4,TFSAPP1SPH200
GPAPI6PG16GYP4,TF128PSIMC4N,STRAIGHT_TALK,CDMA,STZEZ752C,TFSAPP1SPH500
TFAPI6G16GYWHP4,TF128PSIMC4N,STRAIGHT_TALK,CDMA,STZEZ752C,TFSAPP1SPH750
TFSAS550TGR,TF128PSIMT5N,TELCEL_AMERICA,CDMA,TCLG236C,TFN0001Y
TFSAS320VCPAP,TF256PSIMV9N,NET10,GSM,NTLGL25CPDG,TFN00060
TFLG238CDMPDU,,STRAIGHT_TALK,CDMA,STLG236CP,TSAPP40300
TFSAS907VCRCS,TF256PSIMV9N,NET10,CDMA,NTLG329GP5P,TFSAPP1SPH090
TFSAG930VCWHP,TF256PSIMV9N,NET10,CDMA,NTLG329GP5P,TFSAPP1SPH1500
TFAPI5SG16SV,TF128PSIMC4N,STRAIGHT_TALK,GSM,STZEZ752C,TFSAPP1SPH200
TFAPI5SC16SVP,TF256PSIMV9N,TELCEL_AMERICA,CDMA,TCLG236C,TFSAPP1SPH500
TFAPI6C16SVWHP,TF256PSIMV9N,NET10,CDMA,NTLGL25CPDG,TFSAPP1SPH750
TFAPI6PC16SV,TF256PSIMV9N,STRAIGHT_TALK,CDMA,STLG236CP,TFN0001Y
TFAPI6SG16RGWHP,TF128PSIMC4N,STRAIGHT_TALK,GSM,TCLG236C,TFN00060
TFAPI6SC16GY,TF256PSIMV9N,TELCEL_AMERICA,CDMA,NTLG329GP5P,TSAPP40300
TFAPI6SPG16SVR,TF128PSIMC4N,TELCEL_AMERICA,GSM,TCLG236C,TFSAPP1SPH090
TFAPI6SPC16GYPWP,TF256PSIMV9N,NET10,CDMA,NTLG329GP5P,TFSAPP1SPH1500
TFLGLRS988VC3PWP,TF256PSIMV9N,STRAIGHT_TALK,CDMA,STZEZ752C,TFSAPP1SPH200
TFHUH1511DGSV,TF128PSIMT5N,NET10,GSM,NTLGL25CPDG,TFSAPP1SPH500
TFHUH1511DCPDG,TF256PSIMV9N,NET10,CDMA,NTLGL25CPDG,TFSAPP1SPH750
TFAPISEG16SVR4,TF128PSIMC4N,NET10,GSM,NTLG329GP5P,TFN0001Y
TFAPISEC16SVP,TF256PSIMV9N,STRAIGHT_TALK,CDMA,STZEZ752C,TFN00060
TFALA846CPDU,TF256PSIMV9RM,TELCEL_AMERICA,CDMA,TCLG236C,TSAPP40300
TFALA570BGWHP5,TF128PSIMT5RM,NET10,GSM,NTLGL25CPDG,TFSAPP1SPH090
TFALA571VCPDG,TF256PSIMV9RM,STRAIGHT_TALK,CDMA,STLG236CP,TFSAPP1SPH1500
TFZEZ963VCPFMP,TF256PSIMV9N,STRAIGHT_TALK,CDMA,TCLG236C,TFSAPP1SPH200
TFALA621BGP,TF128PSIMC4RM,TELCEL_AMERICA,GSM,NTLG329GP5P,TFSAPP1SPH500
TFLGL61AGP4SP,TF128PSIMC4N,TELCEL_AMERICA,CDMA,TCLG236C,TFSAPP1SPH750
TFLGL51AGWHP4,TF128PSIMC4N,NET10,GSM,NTLG329GP5P,TFN0001Y
TFLGL44VCPDG,TF256PSIMV9N,STRAIGHT_TALK,CDMA,STZEZ752C,TFN00060
TFALA450TG3P5,TF128PSIMT5RM,NET10,GSM,NTLG329GP5P,TSAPP40300
TFZEZ753G3P5P,TF128PSIMT5RM,NET10,GSM,NTLGL25CPDG,TFSAPP1SPH090
TFALA460GWHP5,TF128PSIMT5RM,VERIZON,GSM,TF3GCPOAI4CP,TFSAPP1SPH1500
TFALA463BGP4LLDM,TF64PSIMT5RM,STRAIGHT_TALK,GSM,STZEZ752C,TFSAPP1SPH200
TF3GCPOAI5SGP5,TF128PSIMT5N,STRAIGHT_TALK,GSM,STZEZ752C,TFSAPP1SPH500
TFALA460GWHP,TF64PSIMC4RM,STRAIGHT_TALK,GSM,STZEZ752C,TFSAPP1SPH750
TFZEZ793CPRS,,TELCEL_AMERICA,CDMA,TCLG236C,TFN0001Y
TFLG441GDMP4RS,,NET10,CDMA,NTLGL25CPDG,TFN00060
TFLG237CDMPMP,,STRAIGHT_TALK,CDMA,STLG236CP,TSAPP40300
TFALA564CPMP,,TELCEL_AMERICA,CDMA,TCLG236C,TFSAPP1SPH090
TFLG420GP4,TF64SIMC4,NET10,GSM,NTMTW375P4,TFSAPP1SPH1500
TFZEZ837VCPSP,TF256PSIMV9N,TELCEL_AMERICA,CDMA,TCLG236C,TFSAPP1SPH200
TFLGL64VCPDG,TF256PSIMV9N,STRAIGHT_TALK,CDMA,STZEZ752CPWP,TFSAPP1SPH500
TFZEZ836BGP4DU,TF128PSIMC4N,TELCEL_AMERICA,GSM,TCLG236C,TFSAPP1SPH750
TFZEZ836BGP5DU,TF128PSIMT5N,NET10,GSM,NTLGL25CPDG,TFN0001Y
TFZEZ836BG,TF128PSIMCL7N,STRAIGHT_TALK,GSM,STZEZ752CPWP,TFN00060
TFZEZ798BGP4DU,TF128PSIMC4RM,TELCEL_AMERICA,GSM,TCLG236C,TSAPP40300
TFZEZ798BGP5DU,TF128PSIMT5RM,STRAIGHT_TALK,GSM,STLG236CP,TFSAPP1SPH090
TFZEZ798BG,TF128PSIMCL7RM,STRAIGHT_TALK,GSM,STZEZ752CPWP,TFSAPP1SPH1500
TFLGL59BGR5,TF128PSIMC4N,STRAIGHT_TALK,GSM,STZEZ752CPWP,TFSAPP1SPH200
