Part Number,SIM,Source Brand,Old Part,Card,Promo,CardType
TFLGL48VCWHP,TF256PSIMV9N,NET10,NTALA570BGRCS,1500 Minutes,FALSE,American Express
TFLGL57BGP4AP,TF128PSIMT5N,STRAIGHT_TALK,STZEZ752CPWP,120 Minutes,FALSE,Discover
TFLGL58VCPET3,TF256PSIMV9N,NET10,NTALA570BGRCS,1500 Minutes,FALSE,American Express
TFZEZ233VCGYPET4,TF256PSIMV9RM,STRAIGHT_TALK,STZEZ752CPWP,300 Minutes,TRUE,Discover
TFZEZ232TGGY3P5,TF128PSIMT5RM,NET10,NTALA570BGRCS,1500 Minutes,FALSE,American Express
TFLG108CDMPDGSV,,STRAIGHT_TALK,STZEZ752CPWP,120 Minutes,FALSE,Discover
GPAPI6PG16GYRB,TF128PSIMC4N,NET10,NTALA570BGRCS,1500 Minutes,FALSE,American Express
TFAPI6G16GYR4,TF128PSIMC4N,STRAIGHT_TALK,STZEZ752CPWP,120 Minutes,TRUE,Discover
TFSAS550TG,TF128PSIMT5N,TELCEL_AMERICA,TCLG236C,1500 Minutes,FALSE,American Express
TFSAS320VCPDU,TF256PSIMV9N,TELCEL_AMERICA,TCLG236C,1500 Minutes,TRUE,American Express
TFLG238CDM3PWP,,STRAIGHT_TALK,STLG236CP,450 Minutes,TRUE,Discover
TFZEZ861BGP5AS,TF128PSIMT5N,STRAIGHT_TALK,STZEZ752CPWP,120 Minutes,FALSE,Discover
TFSAG930VC3PWP,TF256PSIMV9N,NET10,NTALA570BGRCS,1500 Minutes,FALSE,American Express
TFAPI5SG16GYP4,TF128PSIMC4N,STRAIGHT_TALK,STZEZ752CPWP,120 Minutes,FALSE,Discover
TFAPI5SC16SVR,TF256PSIMV9N,NET10,NTLGL25CPDG,750 Minutes,TRUE,Discover
TFAPI6C16GYPWP,TF256PSIMV9N,STRAIGHT_TALK,STZEZ752CPWP,200 Minutes,TRUE,Visa
TFAPI6PC16GYP,TF256PSIMV9N,STRAIGHT_TALK,STLG236CP,450 Minutes,TRUE,Discover
TFAPI6SG16RGP4,TF128PSIMC4N,STRAIGHT_TALK,STZEZ752CPWP,450 Minutes,TRUE,Visa
TFAPI6SC16RGPWP,TF256PSIMV9N,NET10,NTALA570BGRCS,1500 Minutes,FALSE,American Express
TFAPI6SPG16GYWHP4,TF128PSIMC4N,STRAIGHT_TALK,STZEZ752CPWP,120 Minutes,FALSE,Discover
TFAPI6SPC16SVPWP,TF256PSIMV9N,NET10,NTALA570BGRCS,200 Minutes,TRUE,Visa
TFLGLRS988VCRCS,TF256PSIMV9N,TELCEL_AMERICA,TCLG236C,1500 Minutes,FALSE,American Express
TFHUH1511DGSVRCS5,TF128PSIMT5N,STRAIGHT_TALK,STZEZ752CPWP,450 Minutes,TRUE,Visa
TFHUH1511DCRCS,TF256PSIMV9N,TELCEL_AMERICA,TCLG236C,120 Minutes,FALSE,American Express
TFAPISEG16SVR,TF128PSIMC4N,NET10,NTALA570BGRCS,1500 Minutes,FALSE,American Express
TFAPISEC16SVPWP,TF256PSIMV9N,STRAIGHT_TALK,STZEZ752CPWP,120 Minutes,FALSE,Discover
TFALA571VC3P,TF256PSIMV9RM,NET10,NTLGL25CPDG,750 Minutes,TRUE,Discover
TFALA570BGP4,TF128PSIMC4RM,NET10,NTALA570BGRCS,200 Minutes,TRUE,Visa
TFALA846CPWP,TF256PSIMV9RM,STRAIGHT_TALK,STLG236CP,450 Minutes,TRUE,Discover
TFZEZ717VCR,TF256PSIMV9RM,STRAIGHT_TALK,STZEZ752CPWP,450 Minutes,TRUE,Visa
TFZEZ962BGDG,TF128PSIMC4N,NET10,NTALA570BGRCS,200 Minutes,FALSE,American Express
TFLGL82VCPWP,TF256PSIMV9N,STRAIGHT_TALK,STZEZ752CPWP,120 Minutes,FALSE,Discover
TFLGL81AGWHP,TF128PSIMC4N,NET10,NTALA570BGRCS,200 Minutes,TRUE,Visa
TFLGL62VCPAS,TF256PSIMV9N,TELCEL_AMERICA,TCLG236C,200 Minutes,FALSE,American Express
TFZEZ955GP5-5,TF64PSIMT5RM,STRAIGHT_TALK,STZEZ752CPWP,450 Minutes,TRUE,Visa
TFZEZ955G3P5P,TF128PSIMT5RM,TELCEL_AMERICA,TCLG236C,120 Minutes,FALSE,American Express
TFALA450TGP5P,TF128PSIMT5RM,NET10,NTLGL25CPDG,500 Minutes,TRUE,Discover
TFALA450TGR5,TF128PSIMT5RM,STRAIGHT_TALK,STZEZ752CPWP,750 Minutes,TRUE,Visa
TFLGL17AGP4RS,TF128PSIMC4RM,TELCEL_AMERICA,TCLG236C,450 Minutes,FALSE,American Express
TFLGL17AGWHP,TF128PSIMC4RM,STRAIGHT_TALK,STLG236CP,450 Minutes,TRUE,Discover
