Part Num,Status,SIM,PIN,Cell Tech,Purchase Type,Card,Zip code
TFLGL48VC2R,New,TF256PSIMV9N,TFN0001Y,CDMA,One Time Purchase,Visa,33178
TFLGL57BGP4AP3,New,TF128PSIMT5N,TFN00060,GSM,One Time Purchase,Visa,33178
TFLGL58VCWHP,New,TF256PSIMV9N,TSAPP40300,CDMA,One Time Purchase,Visa,33178
TFZEZ233VCGYR,New,TF256PSIMV9RM,TFSAPP1SPH090,CDMA,One Time Purchase,Visa,33178
TFLG108CDM3PSV,New,,TFSAPP1SPH1500,CDMA,One Time Purchase,Visa,33178
TFZEZ232TGGY3P5P,New,TF128PSIMT5RM,TFSAPP1SPH200,GSM,One Time Purchase,Visa,33178
GPUAPI6PG16GYRB,New,TF128PSIMC4N,TFSAPP1SPH500,GSM,One Time Purchase,Visa,33178
TFAPI6G16GYP,New,TF128PSIMC4N,TFSAPP1SPH750,GSM,One Time Purchase,Visa,33178
TFSAS550TGRCS,New,TF128PSIMT5N,TFN0001Y,GSM,One Time Purchase,Visa,33178
TFSAS320VCR,New,TF256PSIMV9N,TFN00060,CDMA,One Time Purchase,Visa,33178
TFLG238CWHP,New,,TSAPP40300,CDMA,One Time Purchase,Visa,33178
TFSAS907VCP,New,TF256PSIMV9N,TFSAPP1SPH090,CDMA,One Time Purchase,Visa,33178
TFZEZ861BGP,New,TF128PSIMC4N,TFSAPP1SPH1500,GSM,One Time Purchase,Visa,33178
TFZEZ717VCPDG,New,TF256PSIMV9RM,TFSAPP1SPH200,CDMA,One Time Purchase,Visa,33178
TFLGL59BGRCS,New,TF128PSIMC4N,TFSAPP1SPH500,GSM,One Time Purchase,Visa,33178
TFLGL59BGRCS4,New,TF128PSIMT5N,TFSAPP1SPH750,GSM,One Time Purchase,Visa,33178
TFLGL59BGRCS5,New,TF128PSIMCL7N,TFN0001Y,GSM,One Time Purchase,Visa,00692
TFLGL63BGRCS,New,TF128PSIMC4N,TFN00060,GSM,One Time Purchase,Visa,33178
TFLGL63BGRCS4,New,TF128PSIMT5N,TSAPP40300,GSM,One Time Purchase,Visa,33178
TFLGL63BGRCS5,New,TF128PSIMCL7N,TFSAPP1SPH090,GSM,One Time Purchase,Visa,00692
TFZEZ799VCPAP2,New,TF256PSIMV9RM,TFSAPP1SPH1500,CDMA,One Time Purchase,Visa,33178
