Part Number,Sim Card,Zip Code,Pin Card1,Cell Tech,Status,Pin Card 2
TFLGL48VCRCS,TF256PSIMV9N,33178,TFN0001Y,CDMA,Past Due,TFSAPP1SPH090
TFLGL57BGP5AP,TF128PSIMT5N,33178,TFN00060,GSM,Past Due,TFSAPP1SPH1500
TFLGL58VCR,TF256PSIMV9N,33178,TSAPP40300,CDMA,Past Due,TFSAPP1SPH200
TFZEZ233VCGY2R,TF256PSIMV9RM,33178,TFSAPP1SPH090,CDMA,Past Due,TFSAPP1SPH500
TFLG108CDG,,33178,TFSAPP1SPH1500,CDMA,Past Due,TFSAPP1SPH750
TFZEZ232TGGY,TF128PSIMT5RM,33178,TFSAPP1SPH200,GSM,Past Due,TFN0001Y
TFSAS320VCWHP,TF256PSIMV9N,33178,TFSAPP1SPH500,CDMA,Past Due,TFN00060
TFAPI6G16GYP4,TF128PSIMC4N,33178,TFSAPP1SPH750,GSM,Past Due,TSAPP40300
TFSAG930VCPDG,TF256PSIMV9N,33178,TFN0001Y,CDMA,Past Due,TFSAPP1SPH090
TFAPI5SG16GYP4P,TF128PSIMC4N,33178,TFN00060,GSM,Past Due,TFSAPP1SPH1500
TFAPI5SC16SVP,TF256PSIMV9N,33178,TSAPP40300,CDMA,Past Due,TFSAPP1SPH200
TFAPI6C16SV,TF256PSIMV9N,33178,TFSAPP1SPH090,CDMA,Past Due,TFSAPP1SPH500
TFAPI6PC16GYWHP,TF256PSIMV9N,33178,TFSAPP1SPH1500,CDMA,Past Due,TFSAPP1SPH750
TFAPI6SG16SVP,TF128PSIMC4N,33178,TFSAPP1SPH200,GSM,Past Due,TFSAPP1SPH090
TFAPI6SC16GDPWP,TF256PSIMV9N,33178,TFSAPP1SPH500,CDMA,Past Due,TFSAPP1SPH1500
TFAPI6SPG16SV,TF128PSIMC4N,33178,TFSAPP1SPH750,GSM,Past Due,TFSAPP1SPH200
TFAPI6SPC16RGWHP,TF256PSIMV9N,33178,TFN0001Y,CDMA,Past Due,TFSAPP1SPH500
TFLGLRS988VC,TF256PSIMV9N,33178,TFN00060,CDMA,Past Due,TFSAPP1SPH750
TFHUH1511DGSVWHP5,TF128PSIMT5N,33178,TSAPP40300,GSM,Past Due,TFN0001Y
TFHUH1511DC3PWP,TF256PSIMV9N,33178,TFSAPP1SPH090,CDMA,Past Due,TFN00060
TFAPISEG16SVWHP,TF128PSIMC4N,33178,TFSAPP1SPH1500,GSM,Past Due,TSAPP40300
TFAPISEC16SVWHP,TF256PSIMV9N,33178,TFSAPP1SPH200,CDMA,Past Due,TFSAPP1SPH090
TFALA846CP,TF256PSIMV9RM,33178,TFSAPP1SPH500,CDMA,Past Due,TFSAPP1SPH1500
TFALA570BGP4DG,TF128PSIMT5RM,33178,TFSAPP1SPH750,GSM,Past Due,TFSAPP1SPH200
TFALA571VC3PWP,TF256PSIMV9RM,33178,TFN0001Y,CDMA,Past Due,TFSAPP1SPH500
TFZEZ963VCR,TF256PSIMV9N,33178,TFN00060,CDMA,Past Due,TFSAPP1SPH750
TFLGL82VCPDG,TF256PSIMV9N,33178,TSAPP40300,CDMA,Past Due,TFN00060
TFLGL81AGWHP4,TF128PSIMC4N,33178,TFSAPP1SPH090,GSM,Past Due,TSAPP40300
TFLGL17AGP4P,TF128PSIMC4RM,33178,TFSAPP1SPH1500,GSM,Past Due,TFSAPP1SPH090
TFZEZ667GP5AS,TF128PSIMT5RM,33178,TFSAPP1SPH200,GSM,Past Due,TFSAPP1SPH1500
TFZEZ660GR5,TF128PSIMT5RM,33178,TFSAPP1SPH500,GSM,Past Due,TFSAPP1SPH200
TFALA460GP5,TF128PSIMT5RM,33178,TFSAPP1SPH750,GSM,Past Due,TFSAPP1SPH500
TFZEZ818G3P4,TF128PSIMC4RM,33178,TFN0001Y,GSM,Past Due,TFSAPP1SPH750
TF3GCPOAI5SGP5,TF128PSIMT5N,33178,TFN00060,GSM,Past Due,TFSAPP1SPH090
TF3GCPOADROICP,,33178,TSAPP40300,CDMA,Past Due,TFSAPP1SPH1500
TFZEZ660GWHP4,TF64PSIMC4RM,33178,TFSAPP1SPH090,GSM,Past Due,TFSAPP1SPH200
TFZEZ752CPRS,,33178,TFSAPP1SPH1500,CDMA,Past Due,TFSAPP1SPH500
TFALA460GR4,TF64PSIMC4RM,33178,TFSAPP1SPH200,GSM,Past Due,TFSAPP1SPH750
TFLGL22CPWP,,33178,TFSAPP1SPH500,CDMA,Past Due,TFN0001Y
TFZEZ837VCPDG,TF256PSIMV9N,33178,TFSAPP1SPH750,CDMA,Past Due,TFN00060
TFLGL64VCPRS,TF256PSIMV9N,33178,TFN0001Y,CDMA,Past Due,TSAPP40300
TFZEZ836BG3P4P,TF128PSIMC4N,33178,TFN00060,GSM,Past Due,TFSAPP1SPH090
TFZEZ836BG3P5P,TF128PSIMT5N,33178,TSAPP40300,GSM,Past Due,TFSAPP1SPH1500
TFZEZ836BG,TF128PSIMCL7N,33178,TFSAPP1SPH090,GSM,Past Due,TFSAPP1SPH200
TFZEZ798BG3P4P,TF128PSIMC4RM,33178,TFSAPP1SPH1500,GSM,Past Due,TFSAPP1SPH500
TFZEZ798BG3P5P,TF128PSIMT5RM,33178,TFSAPP1SPH200,GSM,Past Due,TFSAPP1SPH750
TFZEZ798BG,TF128PSIMCL7RM,33178,TFSAPP1SPH500,GSM,Past Due,TFN0001Y
TFLGL59BGP4,TF128PSIMC4N,33178,TFSAPP1SPH750,GSM,Past Due,TFN00060
TFLGL59BGP5,TF128PSIMT5N,33178,TFSAPP1SPH090,GSM,Past Due,TFN0001Y
TFLGL59BG3P4,TF128PSIMCL7N,00692,TFSAPP1SPH1500,GSM,Past Due,TFN00060
TFLGL63BGP4,TF128PSIMC4N,33178,TFSAPP1SPH200,GSM,Past Due,TFN0001Y
TFLGL63BGP5,TF128PSIMT5N,33178,TFSAPP1SPH500,GSM,Past Due,TFN00060
TFLGL63BG3P4,TF128PSIMCL7N,00692,TFSAPP1SPH750,GSM,Past Due,TFN0001Y
TFZEZ799VCPET,TF256PSIMV9RM,33178,TFSAPP1SPH750,CDMA,Past Due,TFN00060
