Part Number,Sim Card,Zip Code,Pin Card,Pin Card2,Pin Card3,Cell Tech,Card,Cardtype,Promo
TFZEZ232TGGYP,TF128PSIMT5RM,33178,TFN0001Y,,,GSM,120 Minutes,Visa,FALSE
TFLG108CDMPASSV,,33178,TFN00060,,,CDMA,120 Minutes,Discover,TRUE
TFSAS550TGWHP,TF128PSIMT5N,33178,TSAPP40300,,,GSM,450 Minutes,American Express,TRUE
TFLG238CDMP-5,,33178,TFSAPP1SPH200,,,CDMA,750 Minutes,Discover,TRUE
TFAPI6PG16GYR,TF128PSIMC4N,33178,TFSAPP1SPH500,,,GSM,500 Minutes,Visa,FALSE
TFZEZ861BGP5P,TF128PSIMT5N,33178,TFSAPP1SPH750,TFN00060,,GSM,120 Minutes,Discover,FALSE
TFSAG930VCPRS,TF256PSIMV9N,33178,TFN0001Y,,,CDMA,500 Minutes,Visa,TRUE
TFAPI5SG16SV,TF128PSIMC4N,33178,TFN00060,,,GSM,120 Minutes,American Express,FALSE
TFAPI5SC16GYPWP,TF256PSIMV9N,33178,TSAPP40300,,,CDMA,120 Minutes,Discover,TRUE
TFAPI6C16GYR,TF256PSIMV9N,33178,TFSAPP1SPH090,,,CDMA,120 Minutes,Visa,FALSE
TFAPI6PC16SVPWP,TF256PSIMV9N,33178,TFSAPP1SPH1500,,,CDMA,450 Minutes,American Express,TRUE
TFAPI6SG16GD,TF128PSIMC4N,33178,TFSAPP1SPH200,,,GSM,120 Minutes,Discover,TRUE
TFAPI6SC16GYR,TF256PSIMV9N,33178,TFSAPP1SPH500,,,CDMA,500 Minutes,Visa,TRUE
TFAPI6SPG16RGP4P,TF128PSIMC4N,33178,TFSAPP1SPH750,,,GSM,120 Minutes,American Express,FALSE
TFAPI6SPC16GDPWP,TF256PSIMV9N,33178,TFN0001Y,,,CDMA,30 Minutes,Discover,TRUE
TFLGLRS988VCPFMP,TF256PSIMV9N,33178,TFN00060,,,CDMA,120 Minutes,Visa,TRUE
TFHUH1511DGSVP5P,TF128PSIMT5N,33178,TSAPP40300,,,GSM,3000 Minutes,American Express,FALSE
TFHUH1511DC3P,TF256PSIMV9N,33178,TFSAPP1SPH090,,,CDMA,500 Minutes,Discover,TRUE
TFAPISEG16SVWHP,TF128PSIMC4N,33178,TFSAPP1SPH1500,,,GSM,500 Minutes,Visa,TRUE
TFAPISEC16SVR,TF256PSIMV9N,33178,TFSAPP1SPH200,TFN00060,,CDMA,120 Minutes,Discover,FALSE
TFALA571VCDG,TF256PSIMV9RM,33178,TFSAPP1SPH500,,,CDMA,120 Minutes,Visa,TRUE
TFALA570BGP5AS,TF128PSIMT5RM,33178,TFSAPP1SPH750,,,GSM,120 Minutes,Discover,FALSE
TFALA846CPFMP,TF256PSIMV9RM,33178,TFN0001Y,,,CDMA,450 Minutes,American Express,TRUE
TFALA621BGP5P,TF128PSIMC4RM,33178,TFN00060,,,GSM,120 Minutes,Discover,TRUE
TFLGL51AGR4,TF128PSIMC4N,33178,TSAPP40300,,,GSM,500 Minutes,Visa,TRUE
TFLGL44VCPAS,TF256PSIMV9N,33178,TFSAPP1SPH090,TFN00060,,CDMA,120 Minutes,Discover,FALSE
TFLGL17AGR,TF128PSIMC4RM,33178,TFSAPP1SPH1500,,,GSM,750 Minutes,Discover,TRUE
TFZEZ660GR5,TF128PSIMT5RM,33178,TFSAPP1SPH500,,,GSM,90 Minutes,American Express,FALSE
TFALA460GP5,TF128PSIMT5RM,33178,TFSAPP1SPH750,,,GSM,500 Minutes,American Express,TRUE
