Status,Part Number,Sim Card,Zip Code,Pin Card,Cell Tech,Pin Card1
New,TFLGL48VCP-5,TF256PSIMV9N,33178,TFN0001Y,CDMA,TSAPP40300
New,TFLGL57BG3P5,TF128PSIMC4N,33178,TFN00060,GSM,TFSAPP1SPH090
New,TFLGL58VCFDP,TF256PSIMV9N,33178,TSAPP40300,CDMA,TFSAPP1SPH1500
New,TFZEZ233VCGYP-5,TF256PSIMV9RM,33178,TFSAPP1SPH090,CDMA,TFSAPP1SPH200
New,TFZEZ232TGGY2R5,TF128PSIMT5RM,33178,TFSAPP1SPH1500,GSM,TFSAPP1SPH500
New,TFLG108CDM3PWPSV,,33178,TFSAPP1SPH200,CDMA,TFSAPP1SPH750
New,TFAPI6G16GYP4TER,TF128PSIMC4N,33178,TFSAPP1SPH750,GSM,TFN00060
New,TFSAS550TGWHP5,TF128PSIMT5N,33178,TFN0001Y,GSM,TSAPP40300
New,TFSAS320VCDG,TF256PSIMV9N,33178,TFN00060,CDMA,TFSAPP1SPH090
New,TFLG238CDMPRS,,33178,TSAPP40300,CDMA,TFSAPP1SPH1500
New,TFSAS907VCPTGP,TF256PSIMV9N,33178,TFSAPP1SPH090,CDMA,TFSAPP1SPH200
New,TFZEZ861BGP4SP,TF128PSIMC4N,33178,TFSAPP1SPH1500,GSM,TFSAPP1SPH500
New,TFSAG930VCDG,TF256PSIMV9N,33178,TFSAPP1SPH200,CDMA,TFSAPP1SPH750
New,TFAPI5SG16GYP,TF128PSIMC4N,33178,TFSAPP1SPH500,GSM,TFN0001Y
New,TFAPI5SC16SVWHP,TF256PSIMV9N,33178,TFSAPP1SPH750,CDMA,TFN00060
New,TFAPI6C16SVR,TF256PSIMV9N,33178,TFN0001Y,CDMA,TSAPP40300
New,TFAPI6PC16GYPWP,TF256PSIMV9N,33178,TFN00060,CDMA,TFSAPP1SPH090
New,TFAPI6SG16SVWHP,TF128PSIMC4N,33178,TSAPP40300,GSM,TFSAPP1SPH1500
New,TFAPI6SC16SVR,TF256PSIMV9N,33178,TFSAPP1SPH090,CDMA,TFSAPP1SPH200
New,TFAPI6SPG16GDR4,TF128PSIMC4N,33178,TFSAPP1SPH1500,GSM,TFSAPP1SPH500
New,TFAPI6SPC16GDP,TF256PSIMV9N,33178,TFSAPP1SPH200,CDMA,TFSAPP1SPH750
New,TFLGLRS988VCR,TF256PSIMV9N,33178,TFSAPP1SPH500,CDMA,TSAPP40300
New,TFHUH1511DGSVDG,TF128PSIMT5N,33178,TFSAPP1SPH750,GSM,TFSAPP1SPH090
New,TFHUH1511DCDG,TF256PSIMV9N,33178,TFN0001Y,CDMA,TFSAPP1SPH1500
New,TFAPISEG16SVR4,TF128PSIMC4N,33178,TFN00060,GSM,TFSAPP1SPH200
New,TFAPISEC16SVP,TF256PSIMV9N,33178,TSAPP40300,CDMA,TFSAPP1SPH500
New,TFALA450TG3P5P,TF128PSIMT5RM,33178,TFSAPP1SPH090,GSM,TFSAPP1SPH750
New,TFSAS902CRCS,TF256PSIMV9RM,33178,TFSAPP1SPH1500,CDMA,TFN0001Y
New,TFZEZ667GR5,TF128PSIMT5RM,33178,TFSAPP1SPH200,GSM,TFN00060
New,TFALA463BGP5,TF128PSIMT5RM,33178,TFSAPP1SPH500,GSM,TSAPP40300
New,TF3GCPOAI5SGP5,TF128PSIMT5N,33178,TFSAPP1SPH750,GSM,TFSAPP1SPH090
New,TFLCPOAI5SGP4,TF128PSIMC4N,33178,TFN0001Y,GSM,TFSAPP1SPH1500
New,TFLCPOAGS4GP4,TF128PSIMC4RM,33178,TFN00060,GSM,TFSAPP1SPH200
New,TFZEZ660GP4DU,TF64PSIMC4RM,33178,TSAPP40300,GSM,TFSAPP1SPH500
New,TFMTXT838CPRS,TF256PSIMV9RM,33178,TFSAPP1SPH090,CDMA,TFSAPP1SPH750
New,TFZEZ752C3P,,33178,TFSAPP1SPH1500,CDMA,TFN0001Y
New,TFLGL22CPTGP,,33178,TFSAPP1SPH200,CDMA,TFN00060
