ZipCode,Carrier,Status,Network Access Code,Pin1,Pin2,Pin3,Cell tech,SIM,Is LTE,Is Iphone
33178,RSS,Not Active,TFAPPBYOCR80,TFN0001Y,,,CDMA,TF256PSIMV9ND,Yes,Yes
33178,RSS,Not Active,TFAPPBYOCR80,TFN00060,,,CDMA,TF256PSIMV9DD,Yes,No
33178,RSS,Not Active,TFNBYOCR80,TSAPP40300,,,CDMA,null,Yes,Yes
33178,RSS,Not Active,TFAPPBYOCR80,TFSAPP1SPH090,,,CDMA,null,Yes,No
33178,RSS,Not Active,TFNBYOCR80,TFSAPP1SPH1500,,,CDMA,null,No,Yes
33178,RSS,Not Active,TFNSBYOCR80,TFSAPP1SPH200,,,CDMA,null,No,No
33178,RSS,Active,TFAPPBYOCR80,TFSAPP1SPH500,,,CDMA,TF256PSIMV9ND,Yes,Yes
33178,RSS,Active,TFAPPBYOCR80,TFSAPP1SPH750,,,CDMA,TF256PSIMV9DD,Yes,No
33178,RSS,Active,TFNBYOCR80,TFN0001Y,,,CDMA,null,Yes,Yes
33178,RSS,Active,TFAPPBYOCR80,TFN00060,,,CDMA,null,Yes,No
33178,RSS,Active,TFNBYOCR80,TSAPP40300,,,CDMA,null,No,Yes
33178,RSS,Active,TFNSBYOCR80,TFSAPP1SPH090,,,CDMA,null,No,No
