Zip code,Carrier,Status,pin1,pin2,pin3,CellTech,SIM,Is LTE,Is IPhone
33178,RSS,Not Active,TFN0001Y,,,CDMA,TF256PSIMV9ND,Yes,Yes
33178,RSS,Not Active,TFN00060,,,CDMA,TF256PSIMV9DD,Yes,No
33178,RSS,Not Active,TSAPP40300,,,CDMA,null,Yes,Yes
33178,RSS,Not Active,TFSAPP1SPH090,,,CDMA,null,Yes,No
33178,RSS,Not Active,TFSAPP1SPH1500,,,CDMA,null,No,Yes
33178,RSS,Not Active,TFSAPP1SPH200,,,CDMA,null,No,No
33178,RSS,Active,TFSAPP1SPH500,,,CDMA,TF256PSIMV9ND,Yes,Yes
33178,RSS,Active,TFSAPP1SPH750,,,CDMA,TF256PSIMV9DD,Yes,No
33178,RSS,Active,TFN0001Y,,,CDMA,null,Yes,Yes
33178,RSS,Active,TFN00060,,,CDMA,null,Yes,No
33178,RSS,Active,TSAPP40300,,,CDMA,null,No,Yes
33178,RSS,Active,TFSAPP1SPH090,,,CDMA,null,No,No
