Part Number,SIM,PIN,Zip Code,Cell Tech,ESN Status
TFLGL48VC,TF256PSIMV9N,TFN0001Y,33178,CDMA,Active
TFLGL57BGP5AP2,TF128PSIMT5N,TFN00060,33178,GSM,InActive
TFLGL58VC2R,TF256PSIMV9N,TSAPP40300,33178,CDMA,Active
TFZEZ233VCGYRCS,TF256PSIMV9RM,TFSAPP1SPH090,33178,CDMA,InActive
TFAPI6PG16GYP4TER,TF128PSIMC4N,TFSAPP1SPH1500,33178,GSM,Active
GPUAPI6PG16SVRB,TF128PSIMC4N,TFSAPP1SPH200,33178,GSM,InActive
TFAPI6G16GYP4,TF128PSIMC4N,TFSAPP1SPH500,33178,GSM,Active
TFSAS550TGP5-5,TF128PSIMT5N,TFSAPP1SPH750,33178,GSM,InActive
TFSAS320VCPRS,TF256PSIMV9N,TFN0001Y,33178,CDMA,Active
TFLG238CDG,,TFN00060,33178,CDMA,InActive
TFSAS907VCPDG,TF256PSIMV9N,TSAPP40300,33178,CDMA,Active
TFZEZ861BGP5,TF128PSIMT5N,TFSAPP1SPH090,33178,GSM,InActive
TFSAG930VCP,TF256PSIMV9N,TFSAPP1SPH1500,33178,CDMA,Active
TFAPI5SG16SVR,TF128PSIMC4N,TFSAPP1SPH200,33178,GSM,InActive
TFAPI5SC16SVPWP,TF256PSIMV9N,TFSAPP1SPH500,33178,CDMA,Active
TFAPI6C16SVR,TF256PSIMV9N,TFSAPP1SPH750,33178,CDMA,InActive
TFAPI6PC16SVR,TF256PSIMV9N,TFN0001Y,33178,CDMA,Active
TFAPI6SG16GDR,TF128PSIMC4N,TFN00060,33178,GSM,InActive
TFAPI6SC16SV,TF256PSIMV9N,TSAPP40300,33178,CDMA,Active
TFAPI6SPG16GDP4P,TF128PSIMC4N,TFSAPP1SPH090,33178,GSM,InActive
TFAPI6SPC16SVP,TF256PSIMV9N,TFSAPP1SPH1500,33178,CDMA,Active
TFLGLRS988VCDG,TF256PSIMV9N,TFSAPP1SPH200,33178,CDMA,InActive
TFHUH1511DGSVR5,TF128PSIMT5N,TFSAPP1SPH500,33178,GSM,Active
TFHUH1511DCPRS,TF256PSIMV9N,TFSAPP1SPH750,33178,CDMA,InActive
TFAPISEG16SVR4,TF128PSIMC4N,TFN0001Y,33178,GSM,Active
TFAPISEC16SVPWP,TF256PSIMV9N,TFN00060,33178,CDMA,InActive
TFALA846CP-5,TF256PSIMV9RM,TSAPP40300,33178,CDMA,Active
TFALA570BG3P5P,TF128PSIMT5RM,TFSAPP1SPH090,33178,GSM,InActive
TFALA571VCPFMP,TF256PSIMV9RM,TFSAPP1SPH1500,33178,CDMA,Active
TFZEZ717VCPSP,TF256PSIMV9RM,TFSAPP1SPH200,33178,CDMA,InActive
TFZEZ962BGP4DG,TF128PSIMC4N,TFSAPP1SPH500,33178,GSM,Active
TFZEZ963VC3P,TF256PSIMV9N,TFSAPP1SPH750,33178,CDMA,InActive
TFALA621BG3P5P,TF128PSIMC4RM,TFN0001Y,33178,GSM,Active
TFLGL82VCDG,TF256PSIMV9N,TFN00060,33178,CDMA,InActive
TFLGL81AG3P4,TF128PSIMC4N,TSAPP40300,33178,GSM,Active
TFLGL62VC3P,TF256PSIMV9N,TFSAPP1SPH090,33178,CDMA,InActive
TFLGL61AGP4DG,TF128PSIMC4N,TFSAPP1SPH1500,33178,GSM,Active
TFLGL51AGP4DU,TF128PSIMC4N,TFSAPP1SPH200,33178,GSM,InActive
TFLGL44VC,TF256PSIMV9N,TFSAPP1SPH500,33178,CDMA,Active
TFZEZ955G3P5,TF128PSIMT5RM,TFSAPP1SPH750,33178,GSM,InActive
TFALA450TG3P5,TF128PSIMT5RM,TFN0001Y,33178,GSM,Active
TFLGL17AGP4,TF128PSIMC4RM,TFN00060,33178,GSM,InActive
TFZEZ753GP5DG,TF128PSIMT5RM,TSAPP40300,33178,GSM,Active
TFZEZ660GP5-5,TF128PSIMT5RM,TFSAPP1SPH090,33178,GSM,InActive
TFALA460GR5,TF128PSIMT5RM,TFSAPP1SPH1500,33178,GSM,Active
TFZEZ955GWHP,TF128PSIMC4RM,TFSAPP1SPH200,33178,GSM,InActive
TFALA463BGP4RS,TF64PSIMC4RM,TFSAPP1SPH500,33178,GSM,Active
TFSAS820C3PWP,TF256PSIMV9RM,TFSAPP1SPH750,33178,CDMA,InActive
TFLGL15G3P4,TF64PSIMC4RM,TFSAPP1SPH500,33178,GSM,Active
PHTF128PSIMC4N,TF128PSIMC4ND,TFSAPP1SPH750,33178,GSM,InActive
