Part Number,Sim Card,Zip Code,Pin Card,Pin Card2,Pin Card3,Cell Tech
TFLGL48VCDG,TF256PSIMV9N,33178,TFN0001Y,,,CDMA
TFLGL57BGP5AP3,TF128PSIMT5N,33178,TFN00060,,,GSM
TFLGL58VCRCS,TF256PSIMV9N,33178,TFN00120,,,CDMA
TFZEZ233VCGY,TF256PSIMV9RM,33178,TFN00120,,,CDMA
TFSAS907VCPAP,TF256PSIMV9N,33178,TFN0001Y,,,CDMA
TFZEZ861BGP4FMP,TF128PSIMT5N,33178,TFN00060,,,GSM
TFALA450TGRCS5,TF128PSIMT5RM,33178,TFN00120,,,GSM
TFSAS902CPAS,TF256PSIMV9RM,33178,TFN00120,,,CDMA
TFZEZ667GP5DU,TF128PSIMT5RM,33178,TFN0001Y,,,GSM
TFALA463BGRCS5,TF128PSIMT5RM,33178,TFN0001Y,,TFN00060,GSM
TFZEZ936CPTGP,TF256PSIMV9RM,33178,TFN00060,,,CDMA
TFALA463BGLLER,TF64PSIMT5RM,33178,TFN00120,,,GSM
TF3GCPOAI5SGP4,TF128PSIMC4N,33178,TFN0001Y,,,GSM
TFSAS777CPDU,,33178,TFN00060,,,CDMA
TFZEZ793CPDU,,33178,TFN0001Y,,,CDMA
TFLG441GR5,TF64SIMCL7,00692,TFN00060,,,GSM
TFALA383GDMP4SV,TF64SIMC4,33178,TFN00060,,,GSM
