Model,SIM,Celltech,ZipCode,Status,PIN
MKRD2LL/A,TF256PSIMV9N,CDMA,33178,New,TFN0001Y
MKRC2LL/A,TF256PSIMV9N,CDMA,33178,New,TFN0001Y
MKRE2LL/A,TF256PSIMV9N,CDMA,33178,New,TFN0001Y
MKRF2LL/A,TF256PSIMV9N,CDMA,33178,New,TFN0001Y
MKW82LL/A,TF256PSIMV9N,CDMA,33178,New,TFN0001Y
MKW62LL/A,TF256PSIMV9N,CDMA,33178,New,TFN0001Y
MKW72LL/A,TF256PSIMV9N,CDMA,33178,New,TFN0001Y
MKRC2LL/A,TF128PSIMC4N,GSM,33178,New,TFN0001Y
MKRD2LL/A,TF128PSIMC4N,GSM,33178,New,TFN0001Y
MKRE2LL/A,TF128PSIMC4N,GSM,33178,New,TFN0001Y
MKRF2LL/A,TF128PSIMC4N,GSM,33178,New,TFN0001Y
MKW52LL/A,TF128PSIMC4N,GSM,33178,New,TFN0001Y
MKW62LL/A,TF128PSIMC4N,GSM,33178,New,TFN0001Y
MKW72LL/A,TF128PSIMC4N,GSM,33178,New,TFN0001Y
MKW82LL/A,TF128PSIMC4N,GSM,33178,New,TFN0001Y
